,trip_start_geog_Long,trip_start_geog_Lat,trip_end_geog_Long,trip_end_geog_Lat,time_start,time_end,trip_distance_meters,trip_duration_seconds
566,22.9585266666667,40.56892,22.96141,40.61253666666671,6,6,5812,792
567,22.952421666666694,40.63153666666671,22.966885,40.6071766666667,12,12,3050,416
568,22.965191666666694,40.594675,22.941798333333306,40.633645,17,18,5153,1210
569,22.9514716666667,40.6320333333333,22.97544,40.6195116666667,14,14,3055,565
570,22.928981666666694,40.644034999999995,22.9587016666667,40.627334999999995,9,9,3280,707
571,22.923666666666694,40.646398333333295,22.950448333333306,40.627965,8,8,3357,740
572,22.951895,40.631809999999994,22.9540016666667,40.599318333333294,12,12,3966,458
573,22.96935,40.60290666666671,22.944585,40.635605,9,9,4459,803
574,22.899901666666693,40.664635,22.941015,40.63294000000001,18,18,5666,1116
575,22.95416,40.6357166666667,22.9863483333333,40.6008383333333,0,1,5164,584
576,22.9769816666667,40.618584999999996,22.901961666666693,40.6537116666667,12,12,8240,1430
577,22.949128333333306,40.6266,22.9504416666667,40.57979,21,21,5503,593
578,22.9932783333333,40.611795,22.9649033333333,40.6209666666667,1,1,2951,382
579,22.9351216666667,40.64161666666672,22.95289,40.6312616666667,9,9,1933,553
580,22.9387933333333,40.634153333333295,22.965516666666694,40.612078333333294,2,2,3572,557
581,22.9419383333333,40.63335,22.931793333333307,40.639768333333286,18,18,1144,193
582,22.9100133333333,40.6737916666667,22.89434,40.669615,11,11,1743,387
583,22.950120000000002,40.62762166666671,22.946435,40.5811416666667,3,3,5783,567
584,22.941408333333307,40.632658333333296,22.966266666666694,40.569193333333295,1,1,8230,946
585,22.9192866666667,40.6458116666667,22.9437283333333,40.6361116666667,19,19,2520,484
586,22.8995866666667,40.65699166666671,22.938126666666694,40.6390216666667,10,11,4279,662
587,22.9384566666667,40.650651666666704,22.9015433333333,40.6539533333333,11,11,3620,639
588,22.9001883333333,40.664503333333286,22.9594766666667,40.6179216666667,8,8,8338,1377
589,22.961778333333307,40.675428333333286,22.93486,40.656855,14,14,3680,770
590,22.9279383333333,40.6422883333333,22.965564999999998,40.608946666666704,9,10,5735,865
591,22.89592,40.6771966666667,22.917901666666694,40.67566166666671,13,13,2251,346
592,22.950743333333307,40.6326483333333,22.9564433333333,40.599388333333295,16,16,4433,654
593,23.038446666666694,40.5909666666667,23.01539,40.5938566666667,18,19,2338,254
594,22.9612016666667,40.6125166666667,22.9313516666667,40.64748166666672,14,15,5031,1191
595,22.943163333333306,40.63645,22.9151066666667,40.6419766666667,0,0,2856,546
596,22.985528333333306,40.6117583333333,22.952215,40.631781666666704,13,13,3723,982
597,22.938753333333306,40.6341933333333,22.922638333333307,40.652295,20,20,2795,606
598,22.9012616666667,40.654275,22.9396333333333,40.639753333333296,22,22,4172,586
599,22.940568333333307,40.6331333333333,22.959976666666694,40.583935,11,11,6179,663
600,22.949206666666694,40.5981633333333,22.923985000000002,40.6591883333333,23,0,8258,1384
601,22.934995,40.65953,22.9439083333333,40.63590166666671,15,15,3318,671
602,22.9594183333333,40.62267,22.920713333333307,40.652466666666704,19,19,5118,975
603,22.9476116666667,40.63022166666671,22.968336666666694,40.6088116666667,20,20,3574,855
604,22.955711666666694,40.57826,22.937576666666693,40.634083333333294,8,9,7761,1411
605,22.96967,40.6099183333333,22.9382,40.66591,9,9,7752,1480
606,22.9473583333333,40.631288333333295,22.974288333333305,40.61588,19,19,3415,760
607,22.97298,40.6162383333333,22.95684,40.6341633333333,11,11,2509,336
608,22.9442233333333,40.64031166666671,22.950960000000002,40.628778333333294,8,9,1611,488
609,22.9486966666667,40.582398333333295,22.96022,40.598165,17,17,2466,450
610,22.938589999999998,40.63411166666671,22.952596666666693,40.58050166666671,18,19,6609,1416
611,22.940523333333307,40.644693333333294,22.90251,40.65367,18,18,3999,709
612,22.951548333333307,40.632293333333294,22.949488333333306,40.600776666666704,21,21,3756,466
613,22.9445566666667,40.635665,22.96454,40.61090166666671,20,20,3432,458
614,22.969255,40.602833333333294,22.9401483333333,40.6334883333333,4,4,4415,599
615,22.9443683333333,40.630951666666704,22.9552266666667,40.6193633333333,17,18,1808,368
616,22.9426983333333,40.6319033333333,22.953191666666694,40.60249,2,2,4131,519
617,22.9389,40.63409,22.9016916666667,40.65379,13,14,4298,721
618,22.92074,40.646983333333296,22.936655,40.6396933333333,14,14,1509,316
619,22.932375,40.639861666666704,22.950135,40.600204999999995,11,11,5436,787
620,22.93796,40.668025,22.9478266666667,40.63838666666671,19,20,3833,669
621,22.951816666666694,40.631888333333286,22.930155,40.66176,1,1,4190,690
622,22.9759066666667,40.607671666666704,22.96196,40.6023833333333,3,3,1304,220
623,22.9452033333333,40.635335,22.96483,40.583268333333294,12,13,7185,977
624,22.9669066666667,40.61989000000001,22.957275,40.600261666666704,10,10,2788,741
625,22.948456666666694,40.627526666666704,22.9490133333333,40.580555,11,11,6049,776
626,22.97291,40.6163483333333,22.945793333333306,40.6350616666667,11,11,3325,491
627,22.937766666666693,40.650293333333295,22.955186666666695,40.5859016666667,19,19,7956,1362
628,22.941516666666693,40.63261,22.9536016666667,40.601095,20,20,4501,744
629,22.953795,40.5944133333333,22.976038333333307,40.4747383333333,13,14,16774,1576
630,22.90129,40.6542316666667,22.9452833333333,40.637370000000004,14,14,4445,714
631,22.94153,40.63247666666671,22.9599716666667,40.584993333333294,16,17,6105,876
632,22.9694933333333,40.6178,22.941988333333306,40.6334,21,21,3215,899
633,22.935218333333307,40.64043,22.9531983333333,40.6284383333333,18,19,2202,1010
634,22.975893333333307,40.6079033333333,22.9535533333333,40.6018216666667,14,14,2428,678
635,22.94183,40.6748466666667,22.946051666666694,40.6332933333333,0,0,5322,817
636,22.951501666666694,40.599683333333296,22.977983333333306,40.60494,8,8,2716,593
637,22.9479716666667,40.62867666666671,22.945403333333307,40.587543333333294,10,11,5271,676
638,22.9932766666667,40.60229,22.9444,40.63190166666672,10,10,6299,1459
639,22.944589999999998,40.63089,22.952341666666694,40.6138666666667,23,23,2079,290
640,22.945861666666694,40.65142,22.9836633333333,40.658061666666704,11,11,3631,632
641,22.938818333333305,40.63425,22.942315,40.65486666666671,20,21,2882,625
642,22.9020683333333,40.653743333333296,22.9612916666667,40.60140666666671,8,8,9147,1262
643,22.9414433333333,40.632631666666704,22.9510366666667,40.576605,20,20,6911,1045
644,22.9726033333333,40.5877466666667,22.978183333333305,40.6057416666667,14,14,2536,412
645,22.944998333333306,40.630618333333295,22.97136,40.609645,11,11,3694,656
646,22.9205616666667,40.647415,22.940086666666694,40.632523333333296,16,16,2538,781
647,22.9599383333333,40.6300216666667,22.98532,40.6116466666667,12,13,3349,616
648,22.943038333333305,40.63653,22.92025,40.647343333333296,11,11,2283,436
649,22.9577,40.62001,22.919578333333305,40.64667,23,23,4506,494
650,22.963910000000002,40.618109999999994,22.947161666666695,40.634173333333294,12,12,2388,337
651,22.91301,40.659563333333296,22.863120000000002,40.687448333333286,18,18,5912,776
652,22.943758333333307,40.6416433333333,22.9028316666667,40.653673333333295,12,12,4157,685
653,22.959475,40.6007066666667,22.96089,40.626338333333294,9,10,3181,556
654,22.951523333333306,40.631936666666704,22.9784016666667,40.6185383333333,11,11,3316,661
655,22.9526066666667,40.593166666666704,22.946975,40.630195,11,11,4537,789
656,22.961821666666694,40.59854666666672,22.940445,40.637895,10,10,5438,1035
657,22.94414,40.6360216666667,22.93468,40.68150166666671,23,23,5783,869
658,22.9702533333333,40.609215,22.954078333333307,40.60615166666671,12,12,1472,604
659,22.9553483333333,40.629966666666704,22.98594,40.61110166666671,16,16,3839,653
660,22.955985000000002,40.6345016666667,22.96397,40.6124966666667,18,18,2888,550
661,22.955553333333306,40.634675,22.961361666666694,40.605231666666704,9,9,3947,789
662,22.957633333333305,40.613518333333296,22.9494816666667,40.62696,9,9,1941,352
663,22.944048333333306,40.630475,22.956654999999998,40.6103483333333,20,20,3080,518
664,22.9753933333333,40.608455,22.943765,40.6360883333333,10,10,4370,785
665,22.927908333333306,40.64409000000001,22.941788333333307,40.6371833333333,14,14,1693,255
666,22.948231666666693,40.6382583333333,22.9638416666667,40.633258333333295,13,14,1507,358
667,22.9430883333333,40.6364983333333,22.928855,40.6658433333333,2,2,3947,542
668,22.94215,40.6583466666667,22.9286833333333,40.645998333333296,3,3,2206,255
669,22.938641666666694,40.634333333333295,22.9836166666667,40.6147383333333,5,5,4980,725
670,22.949138333333305,40.59822,22.9755716666667,40.60785,23,23,2933,642
671,22.894473333333305,40.6686383333333,22.906148333333306,40.677333333333294,14,14,1639,312
672,22.9395783333333,40.6336983333333,22.952939999999998,40.58603,13,13,6374,806
673,22.9267266666667,40.50651666666671,22.932408333333306,40.5102383333333,19,19,706,195
674,22.949145,40.626586666666704,22.9560866666667,40.61864666666671,22,22,1307,220
675,22.95951,40.589040000000004,22.9478266666667,40.6296916666667,19,19,4888,762
676,22.947161666666695,40.637733333333294,22.938778333333307,40.64035666666671,2,2,800,528
677,22.98549,40.6117133333333,22.9591166666667,40.6086266666667,15,15,2585,877
678,22.905456666666694,40.6619883333333,22.948041666666693,40.6626433333333,8,8,4099,774
679,22.9704,40.5776066666667,22.98408,40.549263333333286,10,10,3712,541
680,22.976226666666694,40.61529,22.979798333333306,40.6091633333333,21,21,814,229
681,22.95935,40.6008283333333,22.957391666666695,40.6324616666667,10,10,4044,645
682,22.9483483333333,40.62733,22.9595783333333,40.5944566666667,23,23,4447,412
683,22.95403,40.6131933333333,22.943378333333307,40.632493333333294,8,8,2493,445
684,22.95667000000001,40.58578166666671,22.945246666666694,40.63738,10,11,7238,1069
685,22.961408333333306,40.62426666666671,22.994155,40.6061466666667,18,18,3753,769
686,22.945783333333306,40.651323333333295,22.9595433333333,40.654591666666704,17,17,1295,226
687,22.9496183333333,40.63346666666671,22.955318333333306,40.61889166666671,3,3,2073,330
688,22.948365,40.63811,22.950843333333307,40.62839,7,7,1255,302
689,22.944235,40.640176666666704,22.9632383333333,40.6056183333333,12,12,4770,863
690,22.960005,40.5985116666667,22.9574166666667,40.637415000000004,12,12,5150,913
691,22.9282266666667,40.659338333333295,22.9350316666667,40.6407466666667,7,7,2355,458
692,22.9229783333333,40.6524283333333,22.949521666666694,40.637145000000004,18,18,2991,548
693,22.9444666666667,40.63084,22.9545833333333,40.61848,1,1,1839,291
694,22.9563866666667,40.58052,22.944876666666694,40.631585,13,14,6630,1057
695,22.894531666666694,40.668475,22.953841666666694,40.65067666666671,23,0,6342,803
696,22.974258333333307,40.615083333333295,22.972456666666695,40.5989066666667,16,16,2094,559
