link	length	PCE	speed
425	0.1775	78.1881	50.0000
426	0.0756	80.3427	50.0000
427	0.0184	0.0000	50.0000
428	0.2773	0.0000	50.0000
429	0.0527	0.0000	50.0000
430	0.0088	186.7884	49.9991
431	0.0122	149.2691	49.9996
432	0.2922	0.0000	50.0000
433	0.0211	0.0000	50.0000
434	0.0768	5.0071	50.0000
435	0.0751	1.7380	50.0000
436	0.0331	24.6847	30.0000
437	0.0303	1.6321	50.0000
438	0.6044	5.8395	50.0000
439	0.1273	6.1403	50.0000
440	0.3598	0.0440	50.0000
441	0.0606	0.0000	50.0000
442	0.1096	609.6934	49.9015
443	0.3015	91.0123	30.0000
444	0.1095	2151.3818	119.5482
445	0.2960	139.9826	119.9993
446	0.4597	2011.3992	118.2712
447	0.0232	0.0899	120.0000
448	0.0654	2151.2919	117.7477
449	0.0979	2151.3818	119.5482
450	0.0804	2297.4224	119.4131
451	0.5100	2151.2919	120.0000
452	0.6062	2333.8609	119.3752
453	0.8073	1698.8641	120.0000
454	0.4522	634.9968	119.7219
455	0.2905	496.3630	119.8960
456	0.3146	1837.4979	120.0000
457	0.0412	2333.8609	119.3752
458	0.0401	2262.7804	119.8247
459	0.5258	2262.7804	119.8247
460	0.0170	170.2501	119.9986
461	0.0173	1859.6007	118.7320
462	0.0972	2029.8508	119.6417
463	0.1066	2029.8508	119.6417
464	0.3555	51.5092	120.0000
465	0.0358	1978.3416	118.3806
466	0.3509	488.7177	119.9023
467	0.6654	1168.5494	120.0000
468	0.6183	1657.2671	119.8405
469	0.0304	0.0000	30.0000
470	0.0383	0.0000	30.0000
471	0.1249	2623.8159	119.6834
472	0.0602	292.5529	119.9992
473	0.0520	2331.2630	116.9160
474	0.0995	444.2152	49.9722
475	0.1260	0.0000	50.0000
476	0.1914	83.2156	50.0000
477	0.0107	0.0000	50.0000
478	0.2979	444.2152	49.9722
479	0.0113	71.0533	50.0000
480	0.2479	0.0000	50.0000
481	0.0052	19.6872	50.0000
482	0.0108	11.0443	50.0000
483	0.0074	11.0443	50.0000
484	0.1339	71.0533	70.0000
485	0.1823	0.0000	50.0000
486	0.0334	105.2505	69.9999
487	0.0074	15.2287	50.0000
488	0.0097	9.9265	50.0000
489	0.1014	0.0000	50.0000
490	0.0307	48.9258	20.0000
491	0.0086	45.4576	20.0000
492	0.0537	11.9573	20.0000
493	0.0079	9.9265	50.0000
494	0.1983	0.0000	50.0000
495	0.0139	0.0000	50.0000
496	0.4653	0.0000	50.0000
497	0.0649	0.0000	50.0000
498	0.2332	575.3478	69.9932
499	0.0642	687.5842	69.9972
500	0.0150	2.3392	50.0000
501	0.7682	39.9755	50.0000
502	0.0653	0.0000	50.0000
503	0.0077	0.0000	30.0000
504	0.0079	0.0000	30.0000
505	0.0171	0.0000	30.0000
506	0.2253	0.0000	50.0000
507	0.2481	113.4614	49.9999
508	0.2541	140.9919	49.9997
509	1.2263	159.7192	49.9995
510	0.1465	149.9531	49.9996
511	0.3600	4.9024	50.0000
512	0.0124	403.8014	49.9998
513	0.1707	403.8014	49.9988
514	0.2451	0.0000	50.0000
515	0.0576	56.0808	50.0000
516	0.1360	67.2374	50.0000
517	0.0520	0.0000	50.0000
518	0.0357	0.0004	50.0000
519	0.2232	56.0808	50.0000
520	0.0168	67.2374	50.0000
521	0.1039	0.0000	50.0000
522	0.4332	0.0001	30.0000
523	0.2634	68.6355	50.0000
524	0.2995	95.0986	49.9999
525	0.1455	0.0000	50.0000
526	0.1013	28.1977	50.0000
527	0.3280	11.7774	50.0000
528	0.2914	28.1977	50.0000
529	1.5988	1070.8777	119.9722
530	0.0316	1070.8777	119.9722
531	0.6143	1070.8777	119.9722
532	0.0473	1070.8777	119.9722
533	2.1275	1070.8777	119.9722
534	0.0326	1884.6807	119.7335
535	1.7331	1884.6807	119.7335
536	0.4154	160.9677	49.9995
537	0.7451	173.2555	69.9991
538	0.6163	1884.6807	119.7335
539	0.3718	0.0000	50.0000
540	0.0160	0.0000	50.0000
541	0.0100	0.0000	50.0000
542	0.0507	58.6346	30.0000
543	0.0020	58.6346	30.0000
544	0.0109	114.7189	29.9999
545	0.2108	2.2891	30.0000
546	0.1396	108.7667	29.9999
547	0.0073	214.3915	49.9985
548	0.0280	488.0769	49.9975
549	0.0622	117.5502	50.0000
550	0.0381	62.1162	50.0000
551	0.0690	363.2094	49.9992
552	0.0393	537.5559	69.9948
553	0.0410	48.5208	50.0000
554	0.6078	586.0767	69.9926
555	0.0272	117.5502	29.9999
556	0.0243	111.6619	29.9999
557	0.0583	0.0000	30.0000
558	0.1411	0.3279	30.0000
559	0.0550	42.0558	30.0000
560	0.0104	20.1778	50.0000
561	0.1356	20.1778	50.0000
562	0.0078	24.6252	50.0000
563	0.0216	586.0767	69.9926
564	0.0221	0.0000	50.0000
565	0.1043	89.3631	50.0000
566	0.0326	496.7135	69.9962
567	0.1655	0.0000	50.0000
568	0.0052	24.6252	50.0000
569	0.0104	24.6252	50.0000
570	0.1597	0.0000	50.0000
571	0.0633	0.0000	50.0000
572	0.1781	0.0000	50.0000
573	0.0268	455.3558	69.9973
574	0.5404	455.3558	69.9973
575	0.0178	0.0000	50.0000
576	0.3092	0.0203	50.0000
577	0.0078	24.6290	50.0000
578	0.0068	26.2431	30.0000
579	0.0433	26.2431	20.0000
580	0.3316	5.8004	50.0000
581	0.0483	0.6649	50.0000
582	0.0197	10.8934	30.0000
583	0.0974	10.8934	30.0000
584	0.0891	0.0000	50.0000
585	0.0381	0.0000	50.0000
586	0.2058	0.0000	50.0000
587	0.0617	47.3419	50.0000
588	0.0079	97.6581	49.9999
589	0.3493	86.8184	50.0000
590	0.0533	0.0000	50.0000
591	0.0741	0.0000	50.0000
592	0.3390	20.8238	50.0000
593	0.1542	12.1050	50.0000
594	0.4876	0.0000	50.0000
595	0.1839	0.0000	50.0000
596	0.0747	240.7931	49.9976
597	0.0744	198.5603	49.9989
598	0.1369	240.7931	69.9966
599	0.0787	0.0000	30.0000
600	0.1553	0.0000	50.0000
601	0.0065	2.1698	30.0000
602	0.4293	0.0000	30.0000
603	0.0110	0.0000	50.0000
604	0.0557	0.0000	50.0000
605	0.0560	0.0000	50.0000
606	0.1986	115.6224	49.9999
607	0.0484	0.0000	50.0000
608	0.1064	10.5407	50.0000
609	0.1313	0.0000	50.0000
610	0.2202	115.6224	49.9999
611	0.0972	0.7267	50.0000
612	0.2503	79.9883	50.0000
613	0.2710	69.7396	50.0000
614	0.0343	232.8036	69.9971
615	0.0469	821.8336	69.5467
616	0.9281	0.0000	50.0000
