	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	
[SUI]	192.35	188.82	185.25	181.62	177.94	173.55	169.03	164.40	159.68	154.96	150.21	145.44	140.68	135.96	131.35	126.53	121.86	117.35	112.99	108.81	104.80	100.93	97.21	93.63	90.19	86.83	83.55	80.36	77.23	74.18	71.19	68.27	65.41	62.60	59.86	
[TUR]	163.32	162.75	162.06	161.22	160.24	157.83	155.23	152.46	149.52	146.44	143.19	139.78	136.23	132.56	128.83	125.73	122.48	119.12	115.69	112.22	108.76	105.32	101.93	98.61	95.35	92.17	89.07	86.05	83.10	80.22	77.36	74.51	71.68	68.87	66.09	
[CAN]	197.92	196.25	194.30	192.09	189.64	185.48	181.11	176.53	171.80	166.98	162.03	156.98	151.84	146.66	141.53	136.44	131.43	126.51	121.69	117.01	112.48	108.11	103.89	99.83	95.94	92.16	88.50	84.95	81.50	78.16	74.91	71.76	68.70	65.73	62.84	
[USA]	197.24	195.38	193.28	190.98	188.49	184.32	179.94	175.39	170.70	165.97	161.12	156.19	151.20	146.16	141.16	136.18	131.25	126.38	121.58	116.90	112.34	107.94	103.69	99.60	95.68	91.88	88.21	84.65	81.20	77.87	74.64	71.50	68.46	65.51	62.64	
[JPN]	184.45	182.90	181.11	179.09	176.86	173.24	169.40	165.40	161.24	157.01	152.67	148.22	143.70	139.13	134.58	129.99	125.45	120.97	116.57	112.28	108.11	104.08	100.18	96.42	92.80	89.28	85.87	82.54	79.31	76.18	73.13	70.16	67.28	64.48	61.75	
[RJAN]	174.08	172.69	171.12	169.36	167.42	164.08	160.56	156.90	153.11	149.28	145.34	141.32	137.23	133.10	129.00	124.92	120.88	116.88	112.93	109.07	105.29	101.60	98.01	94.51	91.11	87.78	84.52	81.33	78.22	75.19	72.25	69.38	66.59	63.88	61.24	
[RUS]	186.43	185.10	183.63	182.04	180.32	176.89	173.33	169.66	165.88	162.06	158.16	154.18	150.13	146.03	141.96	138.07	134.14	130.18	126.21	122.27	118.39	114.56	110.81	107.14	103.57	100.10	96.74	93.49	90.33	87.28	84.28	81.33	78.43	75.58	72.78	
[UKR]	155.85	155.30	154.74	154.17	153.58	150.76	147.90	144.99	142.03	139.05	135.98	132.85	129.67	126.45	123.23	121.07	118.77	116.36	113.84	111.22	108.51	105.74	102.90	100.02	97.13	94.24	91.36	88.52	85.73	82.99	80.27	77.57	74.91	72.29	69.70	
[RIS]	179.92	179.05	178.06	176.97	175.76	172.72	169.56	166.28	162.88	159.39	155.72	151.90	147.94	143.88	139.74	136.00	132.15	128.23	124.27	120.31	116.36	112.45	108.59	104.79	101.07	97.44	93.91	90.50	87.20	84.02	80.91	77.89	74.95	72.10	69.33	
[MEX]	185.67	184.43	183.07	181.59	180.00	177.13	174.13	170.99	167.73	164.41	160.97	157.41	153.76	150.02	146.26	142.31	138.30	134.23	130.14	126.07	122.03	118.05	114.13	110.29	106.53	102.87	99.31	95.85	92.49	89.24	86.05	82.94	79.89	76.90	73.99	
